,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
228,Ganga Nagar,12.9089453,77.6239038,Sardarji ka dhaba,12.912220609260222,77.62611185077701,Indian Restaurant
229,Ganga Nagar,12.9089453,77.6239038,Hotel Winelight,12.906592300320629,77.62467412784717,Indian Restaurant
230,Ganga Nagar,12.9089453,77.6239038,Vishal Mega mart,12.913134327336678,77.62536781746928,Shopping Mall
231,Doddathoguru,12.97695915,77.5123160731423,Durga Sri Grand,12.978024260819527,77.51487764416152,Breakfast Spot
232,Doddathoguru,12.97695915,77.5123160731423,Rich fine dinning,12.97801650951509,77.50936739125777,Restaurant
233,Doddathoguru,12.97695915,77.5123160731423,Shubh Family Restaurant,12.980059623718262,77.51042175292969,Indian Restaurant
234,Doddathoguru,12.97695915,77.5123160731423,Coffee Day Drive In,12.980420423569221,77.51039778399134,Café
235,Doddathoguru,12.97695915,77.5123160731423,Ram Bhavan Sweets And Chats,12.973971584963673,77.50966979009029,Bakery
236,Doddathoguru,12.97695915,77.5123160731423,Udupi Garden,12.974339485168457,77.50928497314453,Multicuisine Indian Restaurant
237,Doddathoguru,12.97695915,77.5123160731423,Bhojana Shaale,12.972567148924547,77.51271053378281,Indian Restaurant
238,Doddathoguru,12.97695915,77.5123160731423,Nagarbavi Signal,12.97260993111487,77.51346650716708,Lighthouse
239,Whitefield,12.9064601,77.663395,Happy Land,12.906432,77.663569,Grocery Store
240,Whitefield,12.9064601,77.663395,Cult - The WORKOUT STATION Sarjapur,12.90829627831644,77.66280706530334,Gym / Fitness Center
241,Whitefield,12.9064601,77.663395,Sensuous,12.909242630004883,77.66372680664062,Spa
242,Whitefield,12.9064601,77.663395,Kasavanahalli Dog Walk,12.908274,77.66656,Dog Run
